collection,slug,seoTitle,description
stories,team-led-architecture-advice-process,CLEAR,"Elena Stojmilova on Open GI's shift to team-led architecture — from strong opinions to a culture where engineers own decisions and give advice."
stories,architects-disagreement-team-decision,,"What an architect can do when a team decides something they fundamentally disagree with: shift from control to influence, and build guardrails instead."
stories,architectural-indecision,,"What to do when a team stays silent and no decision gets made — a real story about giving developers ownership of their own technical choices."
stories,governance-after-incident-decision-reversal,,"A decision made under incident pressure gets reversed afterwards. Why governance, supportive leadership and written decisions prevent the frustration."
stories,hidden-weight-rank-improvement-sessions,,"Paul Rayner on a well-intended improvement session that ended with a developer quitting — a candid lesson in unseen authority and power dynamics."
stories,legacy-system-modernization-empathy,,"Michael Plöd on why respecting the original developer's intent turns resistance into progress when modernising a legacy system."
stories,method-wars-hide-real-problem,,"Simon Wardley on how mapping the evolution of components ended the methodology wars on HS2 — context matters more than picking the right method."
stories,slow-clap-hierarchy-kills-workshop,,"Evelyn van Kelle on a CTO slow-clapping through a vulnerable moment, how hierarchy kills collaboration, and what a facilitator can do about it."
stories,stories-on-facilitating-software-architecture-design-because-the-old-ways-arent-cutting-it,,"Why architecture bottlenecks persist, and what collaborative approaches actually change — the opening episode of the Facilitating Stories series."
stories,systems-change-transparency,,"How Architectural Decision Records turn architecture from a bottleneck into something a whole team can see, question and contribute to."
stories,true-cost-simplest-thing-to-do,,"Krisztina Hirth on how choosing 'simple' technical events over real domain events produced 90% noise and an eight-month cleanup."
stories,turning-architecture-conflict-into-collaboration,,"Laïla Bougria on turning clashing opinions into decisions — reframing the problem before the solution, and retrospectives that build evidence."
stories,uncovering-ghost-decisions-architecture,,"How to find the undocumented 'ghost decisions' shaping your architecture, and how Architecture Decision Records bring them into the open."
stories,workshop-agreement-without-action,,"Xin Yao on two workshops where everyone agreed and nothing shipped — how to surface the real concerns behind the success theatre."
sessions,abstractions-as-bridges-with-hazel-weakly,,"Hazel Weakly on what separates a good abstraction from a bad one, and why some take hold across an organisation while others quietly die."
sessions,an-introduction-to-domain-storytelling,,"An introduction to Domain Storytelling: a collaborative modelling method for finding bounded contexts and building a ubiquitous language with domain experts."
sessions,an-introduction-to-residuality-theory-by-barry-m-oreilly,,"Barry M O'Reilly introduces residuality theory, which models software as interconnected residues — an alternative way to design for complex business environments."
sessions,balancing-upfront-design-versus-iterative-design,,"How much design belongs up front? A discussion on getting early feedback on load-bearing decisions without building on a flawed model."
sessions,beyond-the-hexagonal-architecture-functional-core,"Beyond Hexagonal Architecture: The Functional Core","After years of promoting hexagonal architecture, an alternative: the Functional Core, and what it changes about protecting your domain from the technical stack."
sessions,can-business-capabilities-be-useful-in-ddd-with-trond-hjorteland,"Are Business Capabilities Useful in DDD? Trond Hjorteland","Trond Hjorteland on whether business capabilities earn their place in DDD, and what a community of mostly hands-on technologists tends to miss."
sessions,case-study-context-mapping-with-michael-plod,,"Michael Plöd walks a real case study through context mapping — applying the patterns to actual bounded contexts rather than discussing the theory."
sessions,collaborating-and-communicating-with-wardley-maps-part-2,,"Part two of Wardley Mapping for DDD practitioners: more approaches to exploring domains, comparing strategic options and designing team topologies."
sessions,collaborating-and-communicating-with-wardley-maps,,"Wardley Mapping in the DDD toolkit: explore and define bounded contexts, weigh strategic options, and design the team topologies to support them."
sessions,combatting-the-near-enemies-of-domain-driven-design-at-scale,,"Why DDD techniques that work for one team fail at scale, and how to recognise the near enemies — the practices that look like DDD but are not."
sessions,craftconf-meetup-with-nick-tune-and-helin-akgul,,"Nick Tune previews his Strategic Microservice Patterns talk, joined by Helin Akgul, at our CraftConf meetup in Budapest."
sessions,creating-a-playbook-for-ddd-for-the-inside-of-your-team-with-julie-lerman,"Creating a DDD Playbook for Your Team, with Julie Lerman","Julie Lerman on introducing DDD when you are still learning it yourself — extending the Starter Modelling Process into a playbook for a team."
sessions,critically-engaging-with-models-a-conversation-with-rebecca-and-mathias,"Critically Engaging With Models: Rebecca Wirfs-Brock","Rebecca Wirfs-Brock presents her essay Critically Engaging With Models, followed by a group discussion on how we choose and question the models we use."
sessions,ddd-domain-modeling-using-ai-to-accelerate-design-with-staffan-palopaa,"Using AI to Accelerate Domain Modelling","Staffan Palopää on using AI to shorten the learning curve for DDD and domain modelling, and where the machine helps rather than hinders the design."
sessions,ddd-london-creating-a-playbook-for-ddd-newcomers,,"A DDD London brainstorm: cataloguing the techniques newcomers can use to help their organisation see the value of Domain-Driven Design."
sessions,ddd-london-ddd-lite-independent-service-heuristics-with-matthew-skelton,"DDD-Lite: Independent Service Heuristics, Matthew Skelton","Matthew Skelton on Independent Service Heuristics — a lighter way to find effective boundaries between streams of change when full DDD is too involved."
sessions,ddddd-20-aggregate-canvas-by-kim-kao,,"Kim Kao on the Aggregate Canvas: a fluent route from strategic modelling to tactical design, for teams stuck between domain concepts and code."
sessions,ddddd-20-bounded-contexts-microservices-and-everything-in-between,"Bounded Contexts, Microservices and Everything Between","Forty years on from Glenford Myers, we still extol modularity without saying how to achieve it. On bounded contexts, microservices and what sits between."
sessions,ddddd-20-bourdieus-social-theory-applied-to-tech,,"Bourdieu's social theory applied to tech: the hidden power structures in every workplace, and how we oppress and are oppressed by accident."
sessions,ddddd-20-build-a-bounded-context-mob-firedrill,,"A mob firedrill: how far can a room get building a web bounded context from scratch, and what does the attempt teach about working together?"
sessions,ddddd-20-context-maps-practically-applied,,"Context maps applied hands-on: not only the supply and service relationships between bounded contexts, but the organisational aspects and team dynamics."
sessions,ddddd-20-ddd-for-small-organizations,,"Most DDD talks target large organisations. This one is for startups and small product companies — the misconceptions, and what actually carries over."
sessions,ddddd-20-extreme-context-mapping,,"Context mapping used in unconventional ways: multiple business lines, a fragmented technology stack, and what the format reveals under strain."
sessions,ddddd-20-from-capabilities-to-services-modelling-for-business-it-alignment,"From Capabilities to Services: Business-IT Alignment","Service orientation is still hard, and getting it wrong ends in a distributed monolith. Modelling from business capabilities towards services instead."
sessions,ddddd-20-functional-domain-modelling-in-practice,,"A hands-on workshop on functional domain modelling: using a type system to make invalid states unrepresentable and get feedback straight from the code."
sessions,ddddd-20-its-traverse,"« It's traverse »: Functional Programming Patterns","The `traverse` function is so pervasive in functional programming it became a joke. A session on why it answers so many questions."
sessions,ddddd-20-live-coding-expressive-projections,,"Live coding event-sourced projections with higher-order functions, algebraic data types and pattern matching — and dogged determination."
sessions,ddddd-20-natural-boundaries-how-to-read-the-signs-and-benefit-from-the-problems,"Natural Boundaries: Reading the Signs in Your Organisation","Finding the right context boundaries is hard; implementing them without changing the organisation is harder. How to read the signs the organisation gives you."
sessions,ddddd-20-panel-event-sourcing-really-with-alexey,,"Alexey Zimarev on building several production, customer-facing systems with event sourcing at their heart — what drove the choice, and what it cost."
sessions,ddddd-20-panel-experimentation-in-design-with-rebecca-woody-paul-and-julie,"Panel: Experimentation in Software Design","Rebecca Wirfs-Brock, Woody Zuill, Paul Rayner and Julie Lerman on experimentation as the route to a sustainable, flexible design rather than cranking out product."
sessions,ddddd-20-panelremote-related-trainings-with-michael-gien-zsofia-stefan-kacper,"Panel: Remote Training in the DDD Community","In-person training disappeared overnight. Michael Plöd, Gien Verschatse, Zsofia Herendi, Stefan Hofer and Kacper Gunia on what remote teaching made possible."
sessions,ddddd-20-remote-bounded-context-modelling,,"A remote workshop on bounded context modelling, open to anyone — developers, testers, product managers and architects — whether or not you have met DDD before."
sessions,ddddd-20-speaking-truth-to-power-a-foundational-skillset,,"When you can see the icebergs ahead but cannot convince anyone to steer: speaking truth to power as a foundational skill for architects."
sessions,decoding-paradoxes-why-are-many-good-ideas-in-software-delivery-counter-intuitive,"Decoding the Paradoxes of Software Delivery","Why does deploying more often improve quality? Why does slack time make a team more reliable? On the counter-intuitive ideas that keep turning out to be right."
sessions,design-better-products-with-real-cross-functional-teams-jutta-maryse,"Better Products Through Cross-Functional Teams","Jutta Eckstein and Maryse Meinen on how the composition of a team quietly decides who the product ends up serving — and who it leaves out."
sessions,design-reality-with-mathias-verraes,,"Mathias Verraes on models driven by the domain but not constrained by it — because domain language is messy, organic, ambiguous and incomplete."
sessions,do-we-need-software-architects,"Do We Need Software Architects? A Community Debate","Do architects have a bad name, and why? An open debate on the ivory tower, architects inside teams versus between them, and what teams are grateful for."
sessions,does-a-domain-driven-design-approach-need-an-agile-business,,"Trond Hjorteland, Anton Stöckl and Krisztina Hirth on whether DDD works in product development without a clear business goal."
sessions,domain-drinking-dialogues-2020-ending-ask-us-anything-party,"Domain-Drinking Dialogues: Ask Us Anything","Our end-of-2020 meetup: bring a drink and ask the community anything about Domain-Driven Design, modelling or the year we all just had."
sessions,domain-drinking-dialogues-2nd-edition-2021-lean-coffee,,"Closing 2021 with a lean coffee: the community sets the agenda and we work through whatever the room brings, drink in hand."
sessions,domain-driven-frontend-with-francesco-strazzullo,,"Francesco Strazzullo on applying bounded contexts and DDD thinking to the frontend, which is now as much of the architecture as anything behind it."
sessions,domain-experiments-with-mike-wojtyna,,"Mike Wojtyna on designing for requirements nobody can foresee: treating the domain as something to experiment against rather than specify up front."
sessions,effective-team-collaboration-and-why-we-need-it-for-modern-product-experiences,"Team Collaboration for Modern Product Experiences","Modern products are networked, distributed and used by thousands. Why an intuitive experience depends on how well the teams behind it actually collaborate."
sessions,escaping-the-enshittification-trap-systems-thinking-for-sustainable-quality,"Escaping the Enshittification Trap","Quality as an emergent property of teams, tools and processes rather than something tested in at the end — and how systems thinking keeps it sustainable."
sessions,eventstorming-types-and-heuristics-with-rebecca-paul-and-alberto,"EventStorming Types and Heuristics","Rebecca Wirfs-Brock, Paul Rayner and Alberto Brandolini on the different types of EventStorming and the heuristics each of them reaches for."
sessions,experimenting-with-remote-big-picture-eventstorming,,"Big Picture EventStorming, run remotely: finding emergent bounded contexts, building a shared view of the problem space and locating the next constraint."
sessions,experimenting-with-remote-wardley-mapping-with-nick-tune,,"Nick Tune on running Wardley Mapping remotely — anticipating how domains evolve and what that means for the boundaries you draw today."
sessions,fifty-ways-to-scale-your-agile-with-grady-booch,,"Grady Booch on scaling agile beyond a single team, between those who say do not try and those who say it cannot be done."
sessions,fostering-autonomous-teams-with-proper-leadership-culture,,"Collaborative modelling needs autonomous teams, and autonomous teams need a particular kind of leadership. On the culture that makes the modelling work."
sessions,free-trial-workshop-first-steps-in-ddd-with-andrew-blacklivesmatter-edition,"First Steps in DDD: A Free Workshop with Andrew Harmel-Law","Andrew Harmel-Law runs his First Steps in Domain-Driven Design course free for the #BlackLivesMatter community."
sessions,from-the-problem-to-software-a-walkthrough-with-krisztina-hirth,"From Problem to Software: A Walkthrough","Krisztina Hirth walks a problem all the way to software, against Alberto Brandolini's warning that it is the developers' assumptions that reach production."
sessions,hands-on-exploring-techniques-for-modelling-bounded-context-collaboration,"Modelling Bounded Context Collaboration: Hands-On","A hands-on session on the interaction between components — the major source of global complexity, and the balance Vlad Khononov describes."
sessions,how-autonomy-saved-one-of-spotifys-most-loved-features-from-being-killed,"How Autonomy Saved Spotify's Discover Weekly","Daniel Ek would have killed Discover Weekly himself. The story of how team autonomy saved one of Spotify's most loved features."
sessions,how-cognitive-biases-and-ranking-kills-your-modelling-sessions,"How Cognitive Bias and Rank Kill Modelling Sessions","Collaborative modelling depends on a diverse group putting its knowledge to use. On the biases and rank dynamics that quietly stop that happening."
sessions,how-epistemic-injustice-impacts-domain-crunching-with-cat-swetel,"Epistemic Injustice and Domain Crunching","Cat Swetel on epistemic injustice — what we know, how we know it, and who gets to decide — and what that means for crunching a domain together."
sessions,how-feature-branching-affects-domain-driven-design-with-thierry-de-pauw,"How Feature Branching Affects Domain-Driven Design","Thierry de Pauw on the real cost of long-lived branches, and why easy branch creation is not the same as cheap branching."
sessions,how-to-improve-modelling-with-behaviour-driven-development,,"Behaviour-Driven Development was Dan North's answer to teaching developers how to think about testing. What it gives back to modelling."
sessions,how-to-read-the-blue-book-strategic-design-with-mathias-verraes,"How to Read the Blue Book: Strategic Design","Mathias Verraes on reading Eric Evans's Domain-Driven Design fifteen years on — which parts of the blue book still repay the effort, and how to approach them."
sessions,impact-mapping-the-secret-sauce,,"Impact mapping: a lightweight collaborative planning technique built on user interaction design and outcome-driven planning."
sessions,impact-mapping-to-manage-change-and-strategic-design,,"João Rosa and Krisztina Hirth on using impact mapping to find routes to a measurable goal before you know what the solution is."
sessions,introducing-ddd-to-your-company-with-barry-o-sullivan,,"Barry O'Sullivan on introducing DDD to a company — getting developers and business owners onto a shared model without drowning them in acronyms."
sessions,introduction-to-domain-driven-design-and-collaborative-software-design-kenny-baas-schwegler,"Introduction to DDD and Collaborative Software Design","Kenny Baas-Schwegler introduces Domain-Driven Design and collaborative software design: meeting user and business needs with an architecture that stays adaptable."
sessions,its-like-10000-streams-when-what-you-need-is-a-queue-chris-simon,"When You Need a Queue, Not Event-Driven Architecture","Chris Simon on a team that adopted event-driven architecture and hit head-of-line blocking on day one — and when a queue was what they actually needed."
sessions,live-coding-legacy-live-coding-with-dr-carola-lilienthal,,"Dr Carola Lilienthal refactors a legacy example live, using DDD to work through large entities and the other monstrosities legacy code is made of."
sessions,long-term-impact-of-architectural-design-decision,,"Architecture is the set of significant decisions that shape a system — and shaping takes years. On seeing the long-term impact of a decision."
sessions,lost-in-bounded-context-translations-with-julie-indu-michael-and-nick,"Lost in Bounded Context Translation","Julie Lerman, Indu Alagarsamy, Michael Plöd and Nick Tune on the cost of many ubiquitous languages: everything that gets lost translating between them."
sessions,make-your-tests-tell-the-story-of-your-domain-with-anne-and-mads,"Make Your Tests Tell the Story of Your Domain","Anne Landro and Mads Opheim on writing tests that carry the nuance perfect naming cannot — so the domain is still readable months later."
sessions,managing-domain-knowledge-with-chris-simon,,"Chris Simon on the range of tools for building domain knowledge together — example mapping, BDD, EventStorming, domain storytelling — and how to keep it."
sessions,one-user-to-bind-them-all-products-teams-and-bounded-contexts,"Products, Teams and Bounded Contexts","We talk about independent bounded contexts and independent teams, then couple everything back together through one user. Where the model breaks down."
sessions,open-sociotechnical-systems-thinking-with-trond-hjorteland,,"Trond Hjorteland on the renaissance of sociotechnical thinking, and the effect it has had on organisations and the people working in them."
sessions,orchestration-and-choreography-with-laila-bougria-udi-dahan,"Orchestration and Choreography in Event-Driven Systems","Laïla Bougria and Udi Dahan on coordinating work across services: implementing complex business transactions without losing the thread."
sessions,outcome-mapping-for-flow-engineering-with-steve-pereira,,"Steve Pereira on why 70% of transformations fail for want of clarity, and how outcome mapping gets eight people to one understanding of the problem."
sessions,patterns-for-the-people-kevlin-henney,,"Kevlin Henney on patterns as a way of improving habits and conversations, rather than the catalogue of solutions most people remember them as."
sessions,patterns-of-bdd-automation-a-fireside-chat-with-seb-rose-and-gaspar-nagy,"Patterns of BDD Automation: Seb Rose and Gáspár Nagy","Seb Rose and Gáspár Nagy on what happens when two long-running community conversations meet: automation and patterns."
sessions,practical-residuality-by-barry-m-oreilly,,"Barry M O'Reilly on residuality theory in practice — hands-on work with matrices to stress-test the architectures participants are building now."
sessions,psychologic-safety-in-remote-collaboration-with-gitte-klitgaard,"Psychological Safety in Remote Collaboration","Gitte Klitgaard on what remote collaborative modelling asks of a group, and why people only share what they know when they feel safe enough to."
sessions,relationships-between-problem-and-solution-space,,"Problem space and solution space is one of the more confusing ideas in DDD, and the subject of a long debate in the community. An attempt to settle it."
sessions,remote-facilitation-with-kirsten-clacey-jay-allen-morris-and-jo-perold,"Remote Facilitation: Making Distributed Meetings Work","Kirsten Clacey, Jay-Allen Morris and Jo Perold on making remote collaboration effective and genuinely enjoyable rather than merely survivable."
sessions,rethinking-software-development-insights-from-20-years-in-the-field,"Rethinking Software Development: 20 Years On","Twenty years in the field, told as a journey: what holds up, what does not, and what the profession keeps having to relearn."
sessions,secure-by-domain-driven-design-with-jessica-dan-bergh-and-daniel,"Secure by Domain-Driven Design","Jessica Kerr, Dan Bergh Johnsson and Daniel Deogun on where DDD meets security: understanding the domain well enough to stop what you do not want."
sessions,see-the-forest-for-the-trees-trond-hjorteland,,"Trond Hjorteland asks whether you understand what the rest of the system is doing — coding, testing, UX, product — or only your own part of it."
sessions,sharing-your-systems-knowledge-with-bytesize-architecture-sessions-with-andrea-magnorsky,"Bytesize Architecture Sessions with Andrea Magnorsky","Andrea Magnorsky on Bytesize Architecture Sessions: a short, repeatable format for teams with inconsistent views of their own systems."
sessions,slow-down-to-speed-up-your-decision-making-gien-verschatse,"Slow Down to Speed Up Your Decision-Making","Gien Verschatse on why reaching for Kubernetes is not a strategy, and how slowing a decision down gets you to a better one faster."
sessions,socio-technical-architecture-with-ora-egozi-barzilai-and-evelyn-van-kelle,"Socio-Technical Architecture in Practice","Ora Egozi-Barzilai and Evelyn van Kelle on socio-technical architecture — the interrelatedness of the social and the technical, and designing for both."
sessions,soft-skills-for-technical-professionals-by-jacqui-read,,"Jacqui Read on why the strongest technical skills alone do not carry you, and which soft skills multiply the influence you already have."
sessions,speaking-truth-to-power-practice-argumentation-with-diana,"Speaking Truth to Power: Practising Argumentation","Diana Montalion on transforming resistance into influence: if you had ten minutes to be heard and trusted, what would you say, and to whom?"
sessions,splitting-systems-towards-bounded-contexts-and-microservices,"Splitting Systems into Bounded Contexts and Microservices","Why split a large system into smaller services with their own model and language — decoupling teams and giving them real autonomy over what they own."
sessions,sunddday-discussion-cqrs-event-sourcing-systems-with-alexey-and-marco,"CQRS and Event Sourcing in Practice","Alexey Zimarev and Marco Heimeshoff on building real systems with CQRS and event sourcing: what the patterns actually are, and when they earn their keep."
sessions,sunddday-discussion-eventstorming-and-user-story-mapping-for-domain-discovery,"EventStorming and User Story Mapping for Domain Discovery","A panel on using EventStorming and user story mapping together to discover a domain, with Marco Heimeshoff and guests taking questions from the room."
sessions,sunddday-discussion-growing-your-local-ddd-community,,"Learning DDD alone is frustrating. A discussion on starting and growing a local Domain-Driven Design community so you have people to ask."
sessions,surviving-a-national-blackout-with-offline-first-architecture-emilio-carrion,"Offline-First Architecture: Surviving a National Blackout","Emilio Carrión on what happens when a nationwide power cut leaves warehouses dark and the cloud unreachable — and designing for that from the start."
sessions,systems-thinking-intro-with-lorraine-steyn,,"Lorraine Steyn introduces systems thinking: a system always produces what it was designed to produce, even when that is not remotely what anyone meant."
sessions,tdd-as-a-design-tool-with-dave-farley,,"Dave Farley on test-driven development as a design tool rather than a testing practice, and what the Detroit and London schools each get right."
sessions,team-topologies-workshop-with-luke-and-andy,,"A hands-on workshop on the key ideas from Team Topologies, and how to apply the four team types and three interaction modes to your own organisation."
sessions,the-hard-skills-with-diana-montalion,,"Diana Montalion on the shift from building software to building information systems — data platforms, decoupled frontends, event streams, all interdependent."
sessions,the-innovation-of-cumulative-cultures-and-developer-problem-solving,"Cumulative Culture and Developer Problem-Solving","Crows out-perform toddlers at generating novel solutions. What cumulative culture explains about how developers actually solve problems."
sessions,the-paradox-or-polarity-between-decentralised-and-centralised-decision-making,"Decentralised or Centralised Decision-Making?","Team autonomy asks for trust, and trust gets delicate when a team's decisions land on everyone else. Treating the tension as a polarity rather than a problem."
sessions,the-power-of-personal-engagement-by-rozemarijn-evelien,"The Power of Personal Engagement","Rozemarijn Bergevoet and Evelien Roos on what makes a team thrive, and how personal engagement changes what a team is able to do together."
sessions,transforming-business-models-in-the-pandemic-with-zsofia-herendi,"Transforming Business Models Under Pressure","Zsofia Herendi on business model innovation when the ground moves — running the workshops that get a room to genuinely new ideas."
sessions,trying-out-online-eventstorming,,"EventStorming taken online: the DDD community's go-to tool for collaborating across silo boundaries, and what changes when the wall is virtual."
sessions,udi-dahan-ask-me-anything,"Udi Dahan: Ask Me Anything on DDD and Architecture","A fireside chat with Udi Dahan taking questions on Domain-Driven Design, SOA, event-driven architecture, CQRS and large-scale distributed systems."
sessions,virtual-lean-coffee-fishbowl-ux-ddd-and-bdd-take-2,,"A second fishbowl on what UX research, DDD and BDD have been learning separately — and how much of it turns out to be the same work."
sessions,virtual-lean-coffee-fishbowl-ux-ddd-and-bdd,,"A lean coffee fishbowl on UX, DDD and BDD, prompted by how little three communities doing similar work know about each other."
sessions,what-can-we-learn-from-open-source-with-matteo-collina,,"Matteo Collina, long-time Node.js contributor and TSC member, on what the rest of us can learn from how open source actually gets built."
sessions,what-is-an-aggregate-with-thomas-ploch,,"Thomas Ploch on the long-running argument about aggregates: Eric Evans's consistency boundary, and what the community has made of it since."
sessions,what-makes-you-a-ddder,"What Makes You a DDD'er? Beyond EventStorming","An open discussion on what actually makes someone a DDD practitioner — collaborative modelling and shared understanding, or the patterns and practices."
sessions,what-writing-a-book-taught-us-about-collaborative-modeling,"What Writing a Book Taught Us About Modelling","Writing a book about Domain Storytelling forced its authors to name what they had only ever done intuitively. What that reflection changed."
sessions,when-to-invest-in-strategic-design-and-when-in-tactical-design,"Strategic Design or Tactical Design: When to Invest","Most people meet DDD as a programming discipline and find strategic design later. On knowing which one the problem in front of you actually needs."
heuristics,build-safety-through-small-failures,"Build Psychological Safety Through Small Failures",
heuristics,consider-downstream-teams-architectural-patterns,"Consider Downstream Teams When Choosing Patterns",
heuristics,design-bounded-contexts-by-looking-at-the-humans-during-a-big-picture-eventstorming,"Design Bounded Contexts Around the Humans",
heuristics,design-bounded-contexts-by-looking-at-the-one-way-flow-of-orange-sticky-notes-during-a-big-picture-eventstorming,"Design Bounded Contexts by One-Way Sticky Flow",
heuristics,evaluate-architectural-options-against-team-pain-points,"Evaluate Options Against Real Team Pain Points",
heuristics,eventstorming-add-more-detail-with-invisible-conversation,"EventStorming: Detail via Invisible Conversations",
heuristics,eventstorming-do-big-picture-eventstorming-on-a-single-paper-roll,"EventStorming: Use a Single Paper Roll",
heuristics,eventstorming-let-every-pitch-for-hotspots-opportunities,"EventStorming: Let Everyone Pitch a Constraint",
heuristics,eventstorming-let-the-domain-expert-talk-and-the-rest-write-down-domain-events,"EventStorming: Expert Talks, Everyone Else Writes",
heuristics,eventstorming-one-facilitator-for-every-15-participants,"EventStorming: One Facilitator per 15 People",
heuristics,eventstorming-only-move-or-remove-stickies-when-discussed-with-the-writer,"EventStorming: Never Remove Someone Else's Sticky",
heuristics,eventstorming-remove-stickies-when-group-feels-sunk-cost,"EventStorming: Remove Your Own Stickies First",
heuristics,eventstorming-split-and-merge-above-7-people,"EventStorming: Split and Merge Above Seven People",
heuristics,eventstorming-start-enforcing-the-timeline-when-everyone-added-their-domain-events,"EventStorming: When to Enforce the Timeline",
heuristics,eventstorming-switch-to-example-mapping-when-discussing-examples-of-a-rule,"EventStorming: Switch to Example Mapping for Rules",
heuristics,eventstorming-use-as-is-process-modelling-when-exploring-a-green-field-problem-space,"EventStorming: As-Is Modelling for Brown Field",
heuristics,eventstorming-use-to-be-process-modelling-when-exploring-a-brown-field-problem-space,"EventStorming: To-Be Modelling for Green Field",
heuristics,eventstorming-when-there-is-a-story-to-tell-start-with-eventstorming,"EventStorming: Start Here When There's a Story",
heuristics,formalize-architectural-advice-forums-for-cross-context-awareness,"Formalise Architectural Advice Forums",
heuristics,generate-multiple-options-to-depersonalise-design-debates,"Generate Three Options to Depersonalise Debate","When exploring solutions, generate at least three distinct alternatives. Two options tend to produce an us-versus-them dynamic and a false binary."
heuristics,make-the-implicit-mental-models-explicit-for-objective-collaboration,"Make Implicit Mental Models Explicit",
heuristics,remote-eventstorming-switch-driver-every-5-minutes-during-enforcing-the-timeline,"Remote EventStorming: Switch Driver Every 5 Minutes",
heuristics,surface-value-preferences-before-technical-solutions,"Surface Value Preferences Before Solutions",
stories,architects-disagreement-team-decision,"The Architect's Dilemma: Disagreeing With Your Team",
stories,governance-after-incident-decision-reversal,"Software Governance After an Incident",
stories,legacy-system-modernization-empathy,"Legacy Modernisation: Why Empathy Beats Skill",
stories,problem-isnt-technical-ddd-europe,"When the Problem Isn't Technical: DDD Europe",
stories,psychological-safety-incident-response,"Incident Command and Psychological Safety",
stories,stories-on-facilitating-software-architecture-design-because-the-old-ways-arent-cutting-it,"Facilitating Software Architecture: The Old Ways",
stories,systems-change-transparency,"Transparency in Systems Change",
stories,turning-architecture-conflict-into-collaboration,"Turning Architecture Conflict Into Collaboration",
stories,uncovering-ghost-decisions-architecture,"Uncovering Ghost Decisions in Architecture",
sessions,an-introduction-to-residuality-theory-by-barry-m-oreilly,"Residuality Theory: An Introduction",
open-spaces,exploring-integrative-leadership-in-complex-systems,,"An open space on technical leadership when good decisions depend on collective, cross-functional thinking — and modelling together as a form of it."
